source,ft_doi_list,table_doi,name,AA_des,Al,Cu,Mn,Si,Mg,Zn,Cr,Fe,Ti,Ag,As,At,Au,B,Ba,Be,Bi,C,Ca,Cd,Ce,Cf,Co,Er,Eu,F,Ga,Gd,Ge,H,Hf,Hg,Ho,In,K,La,Li,Lu,Mo,N,Na,Nb,Nd,Ni,O,P,Pb,Pd,Pr,Pt,Re,Rh,Ru,S,Sb,Sc,Sm,Sn,Sr,Ta,Tb,Th,Tm,U,V,W,Y,Yb,Zr
named,,,1050,,99.5,0.029411765,0.029411765,0.147058824,0.029411765,0.029411765,0,0.235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
named,,,1060,,99.6,0.026315789,0.015789474,0.131578947,0.015789474,0.026315789,0,0.184210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
named,,,1145,,99.45,0.036666667,0.036666667,0.201666667,0.036666667,0.036666667,0,0.201666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
named,,,1175,,99.75,0.075757576,0.015151515,0.056818182,0.015151515,0.03030303,0,0.056818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
named,,,1200,,99,0.041666667,0.041666667,0.416666667,0,0.083333333,0,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
named,,,1230,,99.3,0.07,0.035,0.245,0.035,0.07,0,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
named,,,1235,,99.35,0.036111111,0.036111111,0.234722222,0.036111111,0.072222222,0,0.234722222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
named,,,1345,,99.45,0.057894737,0.028947368,0.173684211,0.028947368,0.028947368,0,0.231578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
named,,,1350,,99.5,0.044642857,0.008928571,0.089285714,0,0,0,0.357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
named,,,2011,,92.3,5.5,0,0.4,0,0.3,0,0.7,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
