Al,Cu,Mg,Mn,Si,Zn,Fe,Ni,Cr,Ti,Pb,Sn,Zr,Co,V,solution_temp,solution_time,aging_temp,aging_time,strain_hardening_index,alloying_content
92.47244,0.86342144,2.7681458,0.09195659,0.0,3.4120035,0.07113604,0.009025133,0.124516405,0.018735074,0.004157815,0.14254864,0.019805929,0.0,0.002101223,65.94062,0.11600486,25.475945,11.296444,0.0075209327,7.5275574
95.589066,0.4239959,1.794946,0.124173924,1.3677666,0.50607294,0.116012394,0.0,0.040714372,0.02616395,0.00056070846,0.0,0.010047336,0.0,0.0004886308,-7.8316493,-0.007165589,6.2528296,4.196251,0.009985901,4.4109344
97.034935,0.0,0.26549235,0.0,2.2402735,0.045864277,0.09751307,0.049656928,0.042462647,0.002915362,0.0011408323,0.19588026,0.014332014,0.0019461402,0.0075925733,39.711105,0.0774165,19.806063,3.6377046,-0.026132556,2.965065
91.27467,1.0254604,2.5031805,0.093533054,0.5315825,4.2856383,0.0893501,0.0021511386,0.13351879,0.02441286,0.004996739,0.008076762,0.022356065,0.0,0.0010602142,21.80774,0.03498011,17.819084,2.93235,0.0036982542,8.725327
95.63502,2.0244744,0.9762126,0.32906136,0.49643722,0.18435709,0.19660725,0.007498805,0.045097318,0.045695506,0.0,0.059546046,0.0,0.0,0.0,465.1567,0.8526774,39.904507,134.33296,0.08971956,4.3649826
87.834076,1.2586322,2.6252465,0.050292466,0.48148116,7.4106565,0.06289243,0.013033655,0.21839526,0.0079841865,0.0,0.0,0.036497302,0.0002882761,0.00052920775,59.52864,0.086155795,12.542012,11.539463,-0.017925376,12.165924
96.888084,1.4371028,0.33908466,0.111475654,0.39987257,0.5276662,0.0028015932,0.0,0.0,0.003923782,0.00010827907,0.0,0.064718366,0.22516313,0.0,529.5148,0.9873779,158.16742,48.504604,0.042836387,3.1119156
98.09785,0.52524626,0.5193477,0.21946986,0.14745815,0.19626205,0.037391342,0.0,0.017860243,0.013591494,0.0,0.20268261,0.012699233,0.009508135,0.00063056184,122.922585,0.21003492,24.23107,37.4006,0.0004942587,1.902153
93.684135,0.436745,1.4523338,0.038055193,4.178326,0.04365341,0.10829988,0.0,0.03261245,0.017424112,0.0,0.0,0.008416816,0.0,0.0,20.762436,0.031900518,1.8598928,3.6116483,0.0018604996,6.3158646
98.085724,0.48351246,0.76997507,0.2983798,0.0,0.16173947,0.080312446,0.0044384548,0.08041214,0.013284769,0.002873479,0.0,0.014403371,0.0038299633,0.0010990765,19.20848,0.038187347,10.8698225,6.257866,-0.0037693733,1.9142761
91.79255,0.7995586,2.5935936,0.1015587,1.4694147,3.0241573,0.06132093,0.0,0.11456447,0.015166368,0.0038307854,0.0,0.022570891,0.0,0.0017126618,2.2666478,-0.008340783,8.3091345,-1.0658209,0.011934252,8.207451
93.40795,0.6192294,2.296079,0.09769718,1.0934309,2.220342,0.09746732,0.0,0.11889504,0.01758983,0.002767966,0.0,0.017218996,0.009954483,0.001369936,4.772385,0.007446728,11.530215,-2.1706088,0.0035160484,6.5920486
97.188484,0.9049045,0.9006288,0.45437193,0.1446806,0.28352624,0.07029466,0.0,0.02756344,0.008979368,0.0035866592,0.0,0.012989143,0.0,0.0,22.826889,0.047010385,9.673312,8.629084,-0.008971328,2.8115158
98.69972,0.37232697,0.20513593,0.19671072,0.09745563,0.0786559,0.02498134,0.00144602,0.012287743,0.013863212,0.0,0.28223336,0.010313165,0.0048684953,0.0,21.944351,0.04325556,21.66789,9.102119,-0.0034569108,1.3002777
95.78469,0.9172324,1.3093807,0.386764,1.2894245,0.0,0.2129558,0.0,0.047693714,0.040767096,0.005457112,0.0,0.0012625472,0.004382974,0.0,28.975555,0.044685327,9.076213,-3.295626,0.052156266,4.215309
